RHC;;;
Fecha;Componente;Valor;UOM
28/01/2015 6:11:55;30% RECOGIDO;404;§C
28/01/2015 6:11:55;5% RECOGIDO;352;§C
28/01/2015 6:11:55;50% RECOGIDO;425;§C
28/01/2015 6:11:55;70% RECOGIDO;445;§C
28/01/2015 6:11:55;80% RECOGIDO;461;§C
28/01/2015 6:11:55;90% RECOGIDO;490;§C
28/01/2015 6:11:55;95% RECOGIDO;521;§C
28/01/2015 6:11:55;AZUFRE;5.0;mg/kg
28/01/2015 6:11:55;COLOR ASTM;<3.0;-
28/01/2015 6:11:55;DENSIDAD 15§C;0.8426;Kg/L
28/01/2015 6:11:55;I. VISCOSIDAD NOR 4.3 CST A 100§C;131;-
28/01/2015 6:11:55;INDICE VISCOSIDAD;130;-
28/01/2015 6:11:55;NITROGENO;0.37;mg/kg
28/01/2015 6:11:55;P.FINAL;551;§C
28/01/2015 6:11:55;P.INICIAL;284;§C
28/01/2015 6:11:55;VISCOSIDAD A 100§C;4.260;mmý/s
28/01/2015 6:11:55;VISCOSIDAD A 65§C;9.023;mmý/s
28/01/2015 6:12:03;1% RECOGIDO;;§C
28/01/2015 6:12:03;10% RECOGIDO;;§C
28/01/2015 6:12:03;20% RECOGIDO;;§C
28/01/2015 6:12:03;30% RECOGIDO;;§C
28/01/2015 6:12:03;5% RECOGIDO;;§C
28/01/2015 6:12:03;50% RECOGIDO;;§C
28/01/2015 6:12:03;70% RECOGIDO;;§C
28/01/2015 6:12:03;80% RECOGIDO;;§C
28/01/2015 6:12:03;90% RECOGIDO;;§C
28/01/2015 6:12:03;95% RECOGIDO;;§C
28/01/2015 6:12:03;AZUFRE;;mg/kg
28/01/2015 6:12:03;COLOR ASTM;;-
28/01/2015 6:12:03;DENSIDAD 15§C;;Kg/L
28/01/2015 6:12:03;I. VISCOSIDAD NOR 4.3 CST A 100§C;;-
28/01/2015 6:12:03;INDICE VISCOSIDAD;;-
28/01/2015 6:12:03;NITROGENO;;mg/kg
28/01/2015 6:12:03;P.FINAL;;§C
28/01/2015 6:12:03;P.INICIAL;;§C
28/01/2015 6:12:03;VISCOSIDAD A 100§C;;mmý/s
28/01/2015 6:12:03;VISCOSIDAD A 65§C;;mmý/s
29/01/2015 19:01:30;1% RECOGIDO;297;§C
29/01/2015 19:01:30;10% RECOGIDO;379;§C
29/01/2015 19:01:30;20% RECOGIDO;404;§C
29/01/2015 19:01:30;30% RECOGIDO;415;§C
29/01/2015 19:01:30;5% RECOGIDO;364;§C
29/01/2015 19:01:30;50% RECOGIDO;436;§C
29/01/2015 19:01:30;70% RECOGIDO;454;§C
29/01/2015 19:01:30;80% RECOGIDO;469;§C
29/01/2015 19:01:30;90% RECOGIDO;498;§C
29/01/2015 19:01:30;95% RECOGIDO;525;§C
29/01/2015 19:01:30;AZUFRE;4.5;mg/kg
29/01/2015 19:01:30;COLOR ASTM;<3.0;-
29/01/2015 19:01:30;DENSIDAD 15§C;0.8465;Kg/L
29/01/2015 19:01:30;I. VISCOSIDAD NOR 4.3 CST A 100§C;126;-
29/01/2015 19:01:30;INDICE VISCOSIDAD;130;-
29/01/2015 19:01:30;NITROGENO;4.6;mg/kg
29/01/2015 19:01:30;P.FINAL;553;§C
29/01/2015 19:01:30;P.INICIAL;286;§C
29/01/2015 19:01:30;VISCOSIDAD A 100§C;4.742;mmý/s
29/01/2015 19:01:30;VISCOSIDAD A 65§C;10.363;mmý/s
01/02/2015 15:58:08;1% RECOGIDO;;§C
01/02/2015 15:58:08;10% RECOGIDO;;§C
