RHC;;;
Fecha;Componente;Valor;UOM
12/05/2014 7:01:44;20% RECOGIDO;410;§C
12/05/2014 7:01:44;30% RECOGIDO;421;§C
12/05/2014 7:01:44;50% RECOGIDO;436;§C
12/05/2014 7:01:44;70% RECOGIDO;454;§C
12/05/2014 7:01:44;80% RECOGIDO;474;§C
12/05/2014 7:01:44;90% RECOGIDO;506;§C
12/05/2014 7:01:44;95% RECOGIDO;541;§C
12/05/2014 7:01:44;P.FINAL;576;§C
12/05/2014 7:01:44;P.INICIAL;312;§C
12/05/2014 7:01:44;AZUFRE;4.5;mg/Kg
12/05/2014 7:01:44;COLOR ASTM;<3.0;-
12/05/2014 7:01:44;DENSIDAD 15§C;0.8396;Kg/L
12/05/2014 7:01:44;DESTILACION:;;.
12/05/2014 7:01:44;I. VISCOSIDAD NOR 4.3 CST A 100§C;139;-
12/05/2014 7:01:44;INDICE VISCOSIDAD;136;-
12/05/2014 7:01:44;NITROGENO;1.9;mg/Kg
12/05/2014 7:01:44;VISCOSIDAD A 100§C;4.582;mm2/S
12/05/2014 7:01:44;VISCOSIDAD A 65§C;9.769;mm2/S
14/05/2014 5:06:29;1% RECOGIDO;306;§C
14/05/2014 5:06:29;5% RECOGIDO;364;§C
14/05/2014 5:06:29;10% RECOGIDO;376;§C
14/05/2014 5:06:29;20% RECOGIDO;396;§C
14/05/2014 5:06:29;30% RECOGIDO;404;§C
14/05/2014 5:06:29;50% RECOGIDO;423;§C
14/05/2014 5:06:29;70% RECOGIDO;444;§C
14/05/2014 5:06:29;80% RECOGIDO;460;§C
14/05/2014 5:06:29;90% RECOGIDO;491;§C
14/05/2014 5:06:29;95% RECOGIDO;526;§C
14/05/2014 5:06:29;P.FINAL;561;§C
14/05/2014 5:06:29;P.INICIAL;297;§C
14/05/2014 5:06:29;AZUFRE;1.2;mg/Kg
14/05/2014 5:06:29;COLOR ASTM;<3.0;-
14/05/2014 5:06:29;DENSIDAD 15§C;0.8373;Kg/L
14/05/2014 5:06:29;DESTILACION:;;.
14/05/2014 5:06:29;I. VISCOSIDAD NOR 4.3 CST A 100§C;134;-
14/05/2014 5:06:29;INDICE VISCOSIDAD;134;-
14/05/2014 5:06:29;NITROGENO;2.1;mg/Kg
14/05/2014 5:06:29;VISCOSIDAD A 100§C;4.221;mm2/S
14/05/2014 5:06:29;VISCOSIDAD A 65§C;8.869;mm2/S
20/05/2014 6:11:34;1% RECOGIDO;306;§C
20/05/2014 6:11:34;5% RECOGIDO;374;§C
